id,isDefault
800000,0.5
800001,0.5
800002,0.5
800003,0.5
800004,0.5
800005,0.5
800006,0.5
800007,0.5
800008,0.5
800009,0.5
800010,0.5
800011,0.5
800012,0.5
800013,0.5
800014,0.5
800015,0.5
800016,0.5
800017,0.5
800018,0.5
800019,0.5
800020,0.5
800021,0.5
800022,0.5
800023,0.5
800024,0.5
800025,0.5
800026,0.5
800027,0.5
800028,0.5
800029,0.5
800030,0.5
800031,0.5
800032,0.5
800033,0.5
800034,0.5
800035,0.5
800036,0.5
800037,0.5
800038,0.5
800039,0.5
800040,0.5
800041,0.5
800042,0.5
800043,0.5
800044,0.5
800045,0.5
800046,0.5
800047,0.5
800048,0.5
800049,0.5
800050,0.5
800051,0.5
800052,0.5
800053,0.5
800054,0.5
800055,0.5
800056,0.5
800057,0.5
800058,0.5
800059,0.5
800060,0.5
800061,0.5
800062,0.5
800063,0.5
800064,0.5
800065,0.5
800066,0.5
800067,0.5
800068,0.5
800069,0.5
800070,0.5
800071,0.5
800072,0.5
800073,0.5
800074,0.5
800075,0.5
800076,0.5
800077,0.5
800078,0.5
800079,0.5
800080,0.5
800081,0.5
800082,0.5
800083,0.5
800084,0.5
800085,0.5
800086,0.5
800087,0.5
800088,0.5
800089,0.5
800090,0.5
800091,0.5
800092,0.5
800093,0.5
800094,0.5
800095,0.5
800096,0.5
800097,0.5
800098,0.5
800099,0.5
800100,0.5
800101,0.5
800102,0.5
800103,0.5
800104,0.5
800105,0.5
800106,0.5
800107,0.5
800108,0.5
800109,0.5
800110,0.5
800111,0.5
800112,0.5
800113,0.5
800114,0.5
800115,0.5
800116,0.5
800117,0.5
800118,0.5
800119,0.5
800120,0.5
800121,0.5
800122,0.5
800123,0.5
800124,0.5
800125,0.5
800126,0.5
800127,0.5
800128,0.5
800129,0.5
800130,0.5
800131,0.5
800132,0.5
800133,0.5
800134,0.5
800135,0.5
800136,0.5
800137,0.5
800138,0.5
800139,0.5
800140,0.5
800141,0.5
800142,0.5
800143,0.5
800144,0.5
800145,0.5
800146,0.5
800147,0.5
800148,0.5
800149,0.5
800150,0.5
800151,0.5
800152,0.5
800153,0.5
800154,0.5
800155,0.5
800156,0.5
800157,0.5
800158,0.5
800159,0.5
800160,0.5
800161,0.5
800162,0.5
800163,0.5
800164,0.5
800165,0.5
800166,0.5
800167,0.5
800168,0.5
800169,0.5
800170,0.5
800171,0.5
800172,0.5
800173,0.5
800174,0.5
800175,0.5
800176,0.5
800177,0.5
800178,0.5
800179,0.5
800180,0.5
800181,0.5
800182,0.5
800183,0.5
800184,0.5
800185,0.5
800186,0.5
800187,0.5
800188,0.5
800189,0.5
800190,0.5
800191,0.5
800192,0.5
800193,0.5
800194,0.5
800195,0.5
800196,0.5
800197,0.5
800198,0.5
800199,0.5
800200,0.5
800201,0.5
800202,0.5
800203,0.5
800204,0.5
800205,0.5
800206,0.5
800207,0.5
800208,0.5
800209,0.5
800210,0.5
800211,0.5
800212,0.5
800213,0.5
800214,0.5
800215,0.5
800216,0.5
800217,0.5
800218,0.5
800219,0.5
800220,0.5
800221,0.5
800222,0.5
800223,0.5
800224,0.5
800225,0.5
800226,0.5
800227,0.5
800228,0.5
800229,0.5
800230,0.5
800231,0.5
800232,0.5
800233,0.5
800234,0.5
800235,0.5
800236,0.5
800237,0.5
800238,0.5
800239,0.5
800240,0.5
800241,0.5
800242,0.5
800243,0.5
800244,0.5
800245,0.5
800246,0.5
800247,0.5
800248,0.5
800249,0.5
800250,0.5
800251,0.5
800252,0.5
800253,0.5
800254,0.5
800255,0.5
800256,0.5
800257,0.5
800258,0.5
800259,0.5
800260,0.5
800261,0.5
800262,0.5
800263,0.5
800264,0.5
800265,0.5
800266,0.5
800267,0.5
800268,0.5
800269,0.5
800270,0.5
800271,0.5
800272,0.5
800273,0.5
800274,0.5
800275,0.5
800276,0.5
800277,0.5
800278,0.5
800279,0.5
800280,0.5
800281,0.5
800282,0.5
800283,0.5
800284,0.5
800285,0.5
800286,0.5
800287,0.5
800288,0.5
800289,0.5
800290,0.5
800291,0.5
800292,0.5
800293,0.5
800294,0.5
800295,0.5
800296,0.5
800297,0.5
800298,0.5
800299,0.5
800300,0.5
800301,0.5
800302,0.5
800303,0.5
800304,0.5
800305,0.5
800306,0.5
800307,0.5
800308,0.5
800309,0.5
800310,0.5
800311,0.5
800312,0.5
800313,0.5
800314,0.5
800315,0.5
800316,0.5
800317,0.5
800318,0.5
800319,0.5
800320,0.5
800321,0.5
800322,0.5
800323,0.5
800324,0.5
800325,0.5
800326,0.5
800327,0.5
800328,0.5
800329,0.5
800330,0.5
800331,0.5
800332,0.5
800333,0.5
800334,0.5
800335,0.5
800336,0.5
800337,0.5
800338,0.5
800339,0.5
800340,0.5
800341,0.5
800342,0.5
800343,0.5
800344,0.5
800345,0.5
800346,0.5
800347,0.5
800348,0.5
800349,0.5
800350,0.5
800351,0.5
800352,0.5
800353,0.5
800354,0.5
800355,0.5
800356,0.5
800357,0.5
800358,0.5
800359,0.5
800360,0.5
800361,0.5
800362,0.5
800363,0.5
800364,0.5
800365,0.5
800366,0.5
800367,0.5
800368,0.5
800369,0.5
800370,0.5
800371,0.5
800372,0.5
800373,0.5
800374,0.5
800375,0.5
800376,0.5
800377,0.5
800378,0.5
800379,0.5
800380,0.5
800381,0.5
800382,0.5
800383,0.5
800384,0.5
800385,0.5
800386,0.5
800387,0.5
800388,0.5
800389,0.5
800390,0.5
800391,0.5
800392,0.5
800393,0.5
800394,0.5
800395,0.5
800396,0.5
800397,0.5
800398,0.5
800399,0.5
800400,0.5
800401,0.5
800402,0.5
800403,0.5
800404,0.5
800405,0.5
800406,0.5
800407,0.5
800408,0.5
800409,0.5
800410,0.5
800411,0.5
800412,0.5
800413,0.5
800414,0.5
800415,0.5
800416,0.5
800417,0.5
800418,0.5
800419,0.5
800420,0.5
800421,0.5
800422,0.5
800423,0.5
800424,0.5
800425,0.5
800426,0.5
800427,0.5
800428,0.5
800429,0.5
800430,0.5
800431,0.5
800432,0.5
800433,0.5
800434,0.5
800435,0.5
800436,0.5
800437,0.5
800438,0.5
800439,0.5
800440,0.5
800441,0.5
800442,0.5
800443,0.5
800444,0.5
800445,0.5
800446,0.5
800447,0.5
800448,0.5
800449,0.5
800450,0.5
800451,0.5
800452,0.5
800453,0.5
800454,0.5
800455,0.5
800456,0.5
800457,0.5
800458,0.5
800459,0.5
800460,0.5
800461,0.5
800462,0.5
800463,0.5
800464,0.5
800465,0.5
800466,0.5
800467,0.5
800468,0.5
800469,0.5
800470,0.5
800471,0.5
800472,0.5
800473,0.5
800474,0.5
800475,0.5
800476,0.5
800477,0.5
800478,0.5
800479,0.5
800480,0.5
800481,0.5
800482,0.5
800483,0.5
800484,0.5
800485,0.5
800486,0.5
800487,0.5
800488,0.5
800489,0.5
800490,0.5
800491,0.5
800492,0.5
800493,0.5
800494,0.5
800495,0.5
800496,0.5
800497,0.5
800498,0.5
800499,0.5
800500,0.5
800501,0.5
800502,0.5
800503,0.5
800504,0.5
800505,0.5
800506,0.5
800507,0.5
800508,0.5
800509,0.5
800510,0.5
800511,0.5
800512,0.5
800513,0.5
800514,0.5
800515,0.5
800516,0.5
800517,0.5
800518,0.5
800519,0.5
800520,0.5
800521,0.5
800522,0.5
800523,0.5
800524,0.5
800525,0.5
800526,0.5
800527,0.5
800528,0.5
800529,0.5
800530,0.5
800531,0.5
800532,0.5
800533,0.5
800534,0.5
800535,0.5
800536,0.5
800537,0.5
800538,0.5
800539,0.5
800540,0.5
800541,0.5
800542,0.5
800543,0.5
800544,0.5
800545,0.5
800546,0.5
800547,0.5
